0.000,"Info","2021-04-23 05:05:33","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Z5B0E17_B_220421_15"
0.000,"Info","Apparatus","Zantiks MWP Unit"
0.000,"Info","Unit ID","5B0E17"
"TIME","","","ARENA","ACTION","ZONE"
601.302,"Info","Arena",1,"Enter_Zone",4
601.302,"Info","Arena",2,"Enter_Zone",3
601.302,"Info","Arena",4,"Enter_Zone",2
601.302,"Info","Arena",6,"Enter_Zone",1
601.302,"Info","Arena",7,"Enter_Zone",3
601.302,"Info","Arena",8,"Enter_Zone",4
601.302,"Info","Arena",9,"Enter_Zone",1
601.302,"Info","Arena",11,"Enter_Zone",1
601.302,"Info","Arena",12,"Enter_Zone",2
601.302,"Info","Arena",13,"Enter_Zone",2
601.302,"Info","Arena",15,"Enter_Zone",4
601.371,"Info","Arena",3,"Enter_Zone",4
604.335,"Info","Arena",15,"Exit_Zone",4
604.335,"Info","Arena",15,"Enter_Zone",1
604.370,"Info","Arena",15,"Exit_Zone",1
604.370,"Info","Arena",15,"Enter_Zone",4
604.402,"Info","Arena",15,"Exit_Zone",4
604.402,"Info","Arena",15,"Enter_Zone",1
604.435,"Info","Arena",15,"Exit_Zone",1
604.435,"Info","Arena",15,"Enter_Zone",4
604.537,"Info","Arena",15,"Exit_Zone",4
604.537,"Info","Arena",15,"Enter_Zone",1
672.589,"Info","Arena",10,"Enter_Zone",4
690.719,"Info","Arena",12,"Exit_Zone",2
690.719,"Info","Arena",12,"Enter_Zone",4
692.618,"Info","Arena",8,"Exit_Zone",4
692.618,"Info","Arena",8,"Enter_Zone",1
692.687,"Info","Arena",8,"Exit_Zone",1
692.687,"Info","Arena",8,"Enter_Zone",4
692.854,"Info","Arena",8,"Exit_Zone",4
692.854,"Info","Arena",8,"Enter_Zone",1
692.885,"Info","Arena",8,"Exit_Zone",1
692.885,"Info","Arena",8,"Enter_Zone",4
693.085,"Info","Arena",8,"Exit_Zone",4
693.085,"Info","Arena",8,"Enter_Zone",1
693.152,"Info","Arena",8,"Exit_Zone",1
693.152,"Info","Arena",8,"Enter_Zone",4
693.386,"Info","Arena",8,"Exit_Zone",4
693.386,"Info","Arena",8,"Enter_Zone",1
693.418,"Info","Arena",8,"Exit_Zone",1
693.418,"Info","Arena",8,"Enter_Zone",4
693.520,"Info","Arena",8,"Exit_Zone",4
693.520,"Info","Arena",8,"Enter_Zone",1
693.618,"Info","Arena",8,"Exit_Zone",1
693.618,"Info","Arena",8,"Enter_Zone",4
693.652,"Info","Arena",8,"Exit_Zone",4
693.652,"Info","Arena",8,"Enter_Zone",1
693.687,"Info","Arena",8,"Exit_Zone",1
693.687,"Info","Arena",8,"Enter_Zone",4
693.751,"Info","Arena",8,"Exit_Zone",4
693.751,"Info","Arena",8,"Enter_Zone",1
702.352,"Info","Arena",12,"Exit_Zone",4
702.352,"Info","Arena",12,"Enter_Zone",1
874.217,"Info","Arena",12,"Exit_Zone",1
874.217,"Info","Arena",12,"Enter_Zone",4
878.183,"Info","Arena",3,"Exit_Zone",4
878.183,"Info","Arena",3,"Enter_Zone",3
878.217,"Info","Arena",3,"Exit_Zone",3
878.217,"Info","Arena",3,"Enter_Zone",4
879.350,"Info","Arena",3,"Exit_Zone",4
879.350,"Info","Arena",3,"Enter_Zone",3
881.849,"Info","Arena",12,"Exit_Zone",4
881.849,"Info","Arena",12,"Enter_Zone",2
894.214,"Info","Arena",12,"Exit_Zone",2
894.214,"Info","Arena",12,"Enter_Zone",4
918.509,"Info","Arena",5,"Enter_Zone",3
927.374,"Info","Arena",12,"Exit_Zone",4
927.374,"Info","Arena",12,"Enter_Zone",3
927.408,"Info","Arena",12,"Exit_Zone",3
927.408,"Info","Arena",12,"Enter_Zone",4
927.441,"Info","Arena",12,"Exit_Zone",4
927.441,"Info","Arena",12,"Enter_Zone",3
927.541,"Info","Arena",12,"Exit_Zone",3
927.541,"Info","Arena",12,"Enter_Zone",4
928.741,"Info","Arena",12,"Exit_Zone",4
928.741,"Info","Arena",12,"Enter_Zone",3
930.174,"Info","Arena",12,"Exit_Zone",3
930.174,"Info","Arena",12,"Enter_Zone",4
959.435,"Info","Arena",12,"Exit_Zone",4
959.435,"Info","Arena",12,"Enter_Zone",3
1016.024,"Info","Arena",10,"Exit_Zone",4
1016.024,"Info","Arena",10,"Enter_Zone",2
1016.057,"Info","Arena",10,"Exit_Zone",2
1016.057,"Info","Arena",10,"Enter_Zone",4
1020.292,"Info","Arena",10,"Exit_Zone",4
1020.292,"Info","Arena",10,"Enter_Zone",2
1020.323,"Info","Arena",10,"Exit_Zone",2
1020.323,"Info","Arena",10,"Enter_Zone",4
1021.490,"Info","Arena",10,"Exit_Zone",4
1021.490,"Info","Arena",10,"Enter_Zone",2
1021.523,"Info","Arena",10,"Exit_Zone",2
1021.523,"Info","Arena",10,"Enter_Zone",4
1021.656,"Info","Arena",10,"Exit_Zone",4
1021.656,"Info","Arena",10,"Enter_Zone",2
1021.690,"Info","Arena",10,"Exit_Zone",2
1021.690,"Info","Arena",10,"Enter_Zone",4
1021.990,"Info","Arena",10,"Exit_Zone",4
1021.990,"Info","Arena",10,"Enter_Zone",2
1097.742,"Info","Arena",5,"Exit_Zone",3
1097.742,"Info","Arena",5,"Enter_Zone",4
1143.800,"Info","Arena",12,"Exit_Zone",3
1143.800,"Info","Arena",12,"Enter_Zone",4
1148.399,"Info","Arena",12,"Exit_Zone",4
1148.399,"Info","Arena",12,"Enter_Zone",1
1156.231,"Info","Arena",12,"Exit_Zone",1
1156.231,"Info","Arena",12,"Enter_Zone",4
1161.530,"Info","Arena",5,"Exit_Zone",4
1161.530,"Info","Arena",5,"Enter_Zone",2
1162.996,"Info","Arena",12,"Exit_Zone",4
1162.996,"Info","Arena",12,"Enter_Zone",2
1165.029,"Info","Arena",12,"Exit_Zone",2
1165.029,"Info","Arena",12,"Enter_Zone",4
1172.328,"Info","Arena",12,"Exit_Zone",4
1172.328,"Info","Arena",12,"Enter_Zone",1
1262.611,"Info","Arena",12,"Exit_Zone",1
1262.611,"Info","Arena",12,"Enter_Zone",4
1267.677,"Info","Arena",12,"Exit_Zone",4
1267.677,"Info","Arena",12,"Enter_Zone",1
1278.708,"Info","Arena",11,"Exit_Zone",1
1278.708,"Info","Arena",11,"Enter_Zone",4
1286.840,"Info","Arena",12,"Exit_Zone",1
1286.840,"Info","Arena",12,"Enter_Zone",4
1301.804,"Info","Arena",15,"Exit_Zone",1
1301.804,"Info","Arena",15,"Enter_Zone",4
1307.003,"Info","Arena",11,"Exit_Zone",4
1307.003,"Info","Arena",11,"Enter_Zone",2
1307.203,"Info","Arena",11,"Exit_Zone",2
1307.203,"Info","Arena",11,"Enter_Zone",4
1309.836,"Info","Arena",15,"Exit_Zone",4
1309.836,"Info","Arena",15,"Enter_Zone",2
1309.935,"Info","Arena",11,"Exit_Zone",4
1309.935,"Info","Arena",11,"Enter_Zone",2
1310.802,"Info","Arena",11,"Exit_Zone",2
1310.802,"Info","Arena",11,"Enter_Zone",4
1310.935,"Info","Arena",11,"Exit_Zone",4
1310.935,"Info","Arena",11,"Enter_Zone",2
1311.102,"Info","Arena",11,"Exit_Zone",2
1311.102,"Info","Arena",11,"Enter_Zone",4
1311.135,"Info","Arena",11,"Exit_Zone",4
1311.135,"Info","Arena",11,"Enter_Zone",2
1311.237,"Info","Arena",11,"Exit_Zone",2
1311.237,"Info","Arena",11,"Enter_Zone",4
1311.469,"Info","Arena",11,"Exit_Zone",4
1311.469,"Info","Arena",11,"Enter_Zone",2
1311.502,"Info","Arena",11,"Exit_Zone",2
1311.502,"Info","Arena",11,"Enter_Zone",4
1312.602,"Info","Arena",11,"Exit_Zone",4
1312.602,"Info","Arena",11,"Enter_Zone",2
1312.737,"Info","Arena",11,"Exit_Zone",2
1312.737,"Info","Arena",11,"Enter_Zone",4
1313.239,"Info","Arena",11,"Exit_Zone",4
1313.239,"Info","Arena",11,"Enter_Zone",2
1313.270,"Info","Arena",11,"Exit_Zone",2
1313.270,"Info","Arena",11,"Enter_Zone",4
1314.468,"Info","Arena",11,"Exit_Zone",4
1314.468,"Info","Arena",11,"Enter_Zone",2
