Indviduals_ID,Wellplate_location,Sex
ID_210421_1,A1,F
ID_210421_1,A4,F
ID_210421_1,A5,F
ID_210421_1,A7,F
ID_210421_1,B1,F
ID_210421_1,B2,F
ID_210421_1,B4,F
ID_210421_1,B6,F
ID_210421_1,B7,F
ID_210421_1,B8,F
ID_210421_1,C3,F
ID_210421_1,C4,F
ID_210421_1,C7,F
ID_210421_1,C8,F
ID_210421_1,D1,F
ID_210421_1,D2,F
ID_210421_1,D3,F
ID_210421_1,D6,F
ID_210421_1,E4,F
ID_210421_1,E5,F
ID_210421_1,E7,F
ID_210421_1,E8,F
ID_210421_1,F1,F
ID_210421_1,F3,F
ID_210421_1,F4,F
ID_210421_1,F5,F
ID_210421_2,A2,F
ID_210421_2,A3,F
ID_210421_2,A6,F
ID_210421_2,A8,F
ID_210421_2,B1,F
ID_210421_2,B4,F
ID_210421_2,B5,F
ID_210421_2,B6,F
ID_210421_2,B7,F
ID_210421_2,C1,F
ID_210421_2,C3,F
ID_210421_2,C5,F
ID_210421_2,C6,F
ID_210421_2,C7,F
ID_210421_2,C8,F
ID_210421_2,D1,F
ID_210421_2,D2,F
ID_210421_2,D3,F
ID_210421_2,D4,F
ID_210421_2,D5,F
ID_210421_2,D6,F
ID_210421_2,D7,F
ID_210421_2,D8,F
ID_210421_2,E2,F
ID_210421_2,E3,F
ID_210421_2,F1,F
ID_210421_2,F2,F
ID_210421_2,F3,F
ID_210421_2,F4,F
ID_210421_2,F5,F
ID_210421_3,A2,F
ID_210421_3,A4,F
ID_210421_3,A7,F
ID_210421_3,B3,F
ID_210421_3,B4,F
ID_210421_3,B5,F
ID_210421_3,B7,F
ID_210421_3,C1,F
ID_210421_3,C2,F
ID_210421_3,C4,F
ID_210421_3,C5,F
ID_210421_3,C7,F
ID_210421_3,D1,F
ID_210421_3,D4,F
ID_210421_3,D7,F
ID_210421_3,D8,F
ID_210421_3,E3,F
ID_210421_3,E4,F
ID_210421_3,F2,F
ID_210421_3,F4,F
ID_210421_4,A2,F
ID_210421_4,A4,F
ID_210421_4,A5,F
ID_210421_4,A8,F
ID_210421_4,B1,F
ID_210421_4,B3,F
ID_210421_4,B5,F
ID_210421_4,B7,F
ID_210421_4,C1,F
ID_210421_4,C2,F
ID_210421_4,C4,F
ID_210421_4,C5,F
ID_210421_4,C6,F
ID_210421_4,C8,F
ID_210421_4,D2,F
ID_210421_4,D3,F
ID_210421_4,D5,F
ID_210421_4,D6,F
ID_210421_4,D7,F
ID_210421_4,E3,F
ID_210421_4,E4,F
ID_210421_4,E6,F
ID_210421_4,E7,F
ID_210421_4,F1,F
ID_210421_4,F3,F
ID_210421_4,F5,F
ID_220421_5,A1,F
ID_220421_5,A2,F
ID_220421_5,A4,F
ID_220421_5,A7,F
ID_220421_5,A8,F
ID_220421_5,B2,F
ID_220421_5,B3,F
ID_220421_5,B4,F
ID_220421_5,B5,F
ID_220421_5,B7,F
ID_220421_5,B8,F
ID_220421_5,C2,F
ID_220421_5,C4,F
ID_220421_5,C5,F
ID_220421_5,C8,F
ID_220421_5,D2,F
ID_220421_5,D4,F
ID_220421_5,D5,F
ID_220421_5,D7,F
ID_220421_5,D8,F
ID_220421_5,E1,F
ID_220421_5,E4,F
ID_220421_5,E5,F
ID_220421_5,E6,F
ID_220421_5,E7,F
ID_220421_5,E8,F
ID_220421_5,F1,F
ID_220421_5,F2,F
ID_220421_5,F3,F
ID_220421_5,F5,F
ID_220421_6,A1,F
ID_220421_6,A4,F
ID_220421_6,A7,F
ID_220421_6,A8,F
ID_220421_6,B1,F
ID_220421_6,B3,F
ID_220421_6,B4,F
ID_220421_6,B5,F
ID_220421_6,B6,F
ID_220421_6,B8,F
ID_220421_6,C1,F
ID_220421_6,C2,F
ID_220421_6,C3,F
ID_220421_6,C6,F
ID_220421_6,C7,F
ID_220421_6,C8,F
ID_220421_6,D1,F
ID_220421_6,D2,F
ID_220421_6,D3,F
ID_220421_6,D8,F
ID_220421_6,E1,F
ID_220421_6,E2,F
ID_220421_6,E3,F
ID_220421_6,E5,F
ID_220421_6,E6,F
