0.000,"Info","2021-04-22 00:53:36","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification"," Z8E63AA_B_210421_3"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","8E63AA"
"TIME","","","ARENA","ACTION","ZONE"
601.312,"Info","Arena",1,"Enter_Zone",1
601.312,"Info","Arena",2,"Enter_Zone",1
601.312,"Info","Arena",5,"Enter_Zone",2
601.312,"Info","Arena",6,"Enter_Zone",4
601.312,"Info","Arena",7,"Enter_Zone",2
601.312,"Info","Arena",8,"Enter_Zone",4
601.312,"Info","Arena",9,"Enter_Zone",2
601.312,"Info","Arena",10,"Enter_Zone",3
601.312,"Info","Arena",11,"Enter_Zone",1
601.312,"Info","Arena",12,"Enter_Zone",3
601.312,"Info","Arena",13,"Enter_Zone",2
601.312,"Info","Arena",14,"Enter_Zone",4
601.312,"Info","Arena",15,"Enter_Zone",3
609.675,"Info","Arena",5,"Exit_Zone",2
609.675,"Info","Arena",5,"Enter_Zone",4
609.741,"Info","Arena",5,"Exit_Zone",4
609.741,"Info","Arena",5,"Enter_Zone",2
609.775,"Info","Arena",5,"Exit_Zone",2
609.775,"Info","Arena",5,"Enter_Zone",4
609.811,"Info","Arena",5,"Exit_Zone",4
609.811,"Info","Arena",5,"Enter_Zone",2
609.841,"Info","Arena",5,"Exit_Zone",2
609.841,"Info","Arena",5,"Enter_Zone",4
610.174,"Info","Arena",5,"Exit_Zone",4
610.174,"Info","Arena",5,"Enter_Zone",2
610.208,"Info","Arena",5,"Exit_Zone",2
610.208,"Info","Arena",5,"Enter_Zone",4
655.766,"Info","Arena",8,"Exit_Zone",4
655.766,"Info","Arena",8,"Enter_Zone",1
656.899,"Info","Arena",8,"Exit_Zone",1
656.899,"Info","Arena",8,"Enter_Zone",4
656.932,"Info","Arena",8,"Exit_Zone",4
656.932,"Info","Arena",8,"Enter_Zone",1
660.865,"Info","Arena",8,"Exit_Zone",1
660.865,"Info","Arena",8,"Enter_Zone",4
660.898,"Info","Arena",8,"Exit_Zone",4
660.898,"Info","Arena",8,"Enter_Zone",1
661.165,"Info","Arena",8,"Exit_Zone",1
661.165,"Info","Arena",8,"Enter_Zone",4
661.198,"Info","Arena",8,"Exit_Zone",4
661.198,"Info","Arena",8,"Enter_Zone",1
661.231,"Info","Arena",8,"Exit_Zone",1
661.231,"Info","Arena",8,"Enter_Zone",4
661.331,"Info","Arena",8,"Exit_Zone",4
661.331,"Info","Arena",8,"Enter_Zone",1
661.431,"Info","Arena",8,"Exit_Zone",1
661.431,"Info","Arena",8,"Enter_Zone",4
661.467,"Info","Arena",8,"Exit_Zone",4
661.467,"Info","Arena",8,"Enter_Zone",1
661.498,"Info","Arena",8,"Exit_Zone",1
661.498,"Info","Arena",8,"Enter_Zone",4
664.232,"Info","Arena",8,"Exit_Zone",4
664.232,"Info","Arena",8,"Enter_Zone",1
