0.000,"Info","2021-04-22 23:17:29","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Z5B0E17_B_220421_9"
0.000,"Info","Apparatus","Zantiks MWP Unit"
0.000,"Info","Unit ID","5B0E17"
"TIME","","","ARENA","ACTION","ZONE"
601.389,"Info","Arena",1,"Enter_Zone",4
601.389,"Info","Arena",3,"Enter_Zone",4
601.389,"Info","Arena",4,"Enter_Zone",4
601.389,"Info","Arena",5,"Enter_Zone",1
601.389,"Info","Arena",7,"Enter_Zone",3
601.389,"Info","Arena",9,"Enter_Zone",4
601.389,"Info","Arena",10,"Enter_Zone",3
601.389,"Info","Arena",11,"Enter_Zone",4
601.389,"Info","Arena",12,"Enter_Zone",4
601.389,"Info","Arena",13,"Enter_Zone",2
601.389,"Info","Arena",14,"Enter_Zone",4
601.389,"Info","Arena",15,"Enter_Zone",2
601.432,"Info","Arena",8,"Enter_Zone",2
608.654,"Info","Arena",15,"Exit_Zone",2
608.654,"Info","Arena",15,"Enter_Zone",4
610.821,"Info","Arena",9,"Exit_Zone",4
610.821,"Info","Arena",9,"Enter_Zone",1
610.921,"Info","Arena",9,"Exit_Zone",1
610.921,"Info","Arena",9,"Enter_Zone",4
610.956,"Info","Arena",9,"Exit_Zone",4
610.956,"Info","Arena",9,"Enter_Zone",1
612.820,"Info","Arena",6,"Enter_Zone",4
613.289,"Info","Arena",15,"Exit_Zone",4
613.289,"Info","Arena",15,"Enter_Zone",2
613.320,"Info","Arena",15,"Exit_Zone",2
613.320,"Info","Arena",15,"Enter_Zone",4
620.719,"Info","Arena",8,"Exit_Zone",2
620.719,"Info","Arena",8,"Enter_Zone",4
621.121,"Info","Arena",15,"Exit_Zone",4
621.121,"Info","Arena",15,"Enter_Zone",2
621.185,"Info","Arena",15,"Exit_Zone",2
621.185,"Info","Arena",15,"Enter_Zone",4
621.485,"Info","Arena",15,"Exit_Zone",4
621.485,"Info","Arena",15,"Enter_Zone",2
621.954,"Info","Arena",15,"Exit_Zone",2
621.954,"Info","Arena",15,"Enter_Zone",4
