0.000,"Info","2021-04-23 05:06:13","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Z8E63AA_B_220421_15"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","8E63AA"
"TIME","","","ARENA","ACTION","ZONE"
601.518,"Info","Arena",14,"Enter_Zone",4
604.484,"Info","Arena",5,"Exit_Zone",4
604.484,"Info","Arena",5,"Enter_Zone",2
605.288,"Info","Arena",2,"Exit_Zone",3
605.288,"Info","Arena",2,"Enter_Zone",4
605.318,"Info","Arena",2,"Exit_Zone",4
605.318,"Info","Arena",2,"Enter_Zone",3
605.351,"Info","Arena",2,"Exit_Zone",3
605.351,"Info","Arena",2,"Enter_Zone",4
636.378,"Info","Arena",5,"Exit_Zone",2
636.378,"Info","Arena",5,"Enter_Zone",4
654.611,"Info","Arena",5,"Exit_Zone",4
654.611,"Info","Arena",5,"Enter_Zone",3
654.675,"Info","Arena",5,"Exit_Zone",3
654.675,"Info","Arena",5,"Enter_Zone",4
674.404,"Info","Arena",14,"Exit_Zone",4
674.404,"Info","Arena",14,"Enter_Zone",1
675.537,"Info","Arena",14,"Exit_Zone",1
675.537,"Info","Arena",14,"Enter_Zone",4
675.571,"Info","Arena",14,"Exit_Zone",4
675.571,"Info","Arena",14,"Enter_Zone",1
685.169,"Info","Arena",5,"Exit_Zone",4
685.169,"Info","Arena",5,"Enter_Zone",1
688.501,"Info","Arena",14,"Exit_Zone",1
688.501,"Info","Arena",14,"Enter_Zone",4
688.535,"Info","Arena",14,"Exit_Zone",4
688.535,"Info","Arena",14,"Enter_Zone",1
701.299,"Info","Arena",5,"Exit_Zone",1
701.299,"Info","Arena",5,"Enter_Zone",4
704.832,"Info","Arena",5,"Exit_Zone",4
704.832,"Info","Arena",5,"Enter_Zone",3
731.860,"Info","Arena",2,"Exit_Zone",4
731.860,"Info","Arena",2,"Enter_Zone",3
731.893,"Info","Arena",2,"Exit_Zone",3
731.893,"Info","Arena",2,"Enter_Zone",4
731.993,"Info","Arena",2,"Exit_Zone",4
731.993,"Info","Arena",2,"Enter_Zone",3
732.026,"Info","Arena",2,"Exit_Zone",3
732.026,"Info","Arena",2,"Enter_Zone",4
732.096,"Info","Arena",2,"Exit_Zone",4
732.096,"Info","Arena",2,"Enter_Zone",3
732.959,"Info","Arena",2,"Exit_Zone",3
732.959,"Info","Arena",2,"Enter_Zone",4
