0.000,"Info","2021-04-23 03:38:05","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Z5B0E17_B_220421_13"
0.000,"Info","Apparatus","Zantiks MWP Unit"
0.000,"Info","Unit ID","5B0E17"
"TIME","","","ARENA","ACTION","ZONE"
601.319,"Info","Arena",1,"Enter_Zone",2
601.319,"Info","Arena",2,"Enter_Zone",4
601.319,"Info","Arena",3,"Enter_Zone",4
601.319,"Info","Arena",4,"Enter_Zone",1
601.319,"Info","Arena",5,"Enter_Zone",4
601.319,"Info","Arena",6,"Enter_Zone",4
601.319,"Info","Arena",7,"Enter_Zone",4
601.319,"Info","Arena",8,"Enter_Zone",4
601.319,"Info","Arena",9,"Enter_Zone",2
601.319,"Info","Arena",10,"Enter_Zone",1
601.319,"Info","Arena",11,"Enter_Zone",4
601.319,"Info","Arena",12,"Enter_Zone",1
601.319,"Info","Arena",13,"Enter_Zone",1
601.319,"Info","Arena",14,"Enter_Zone",3
601.319,"Info","Arena",15,"Enter_Zone",1
601.485,"Info","Arena",13,"Exit_Zone",1
601.485,"Info","Arena",13,"Enter_Zone",4
601.521,"Info","Arena",13,"Exit_Zone",4
601.521,"Info","Arena",13,"Enter_Zone",1
601.952,"Info","Arena",13,"Exit_Zone",1
601.952,"Info","Arena",13,"Enter_Zone",4
601.985,"Info","Arena",13,"Exit_Zone",4
601.985,"Info","Arena",13,"Enter_Zone",1
602.189,"Info","Arena",13,"Exit_Zone",1
602.189,"Info","Arena",13,"Enter_Zone",4
602.285,"Info","Arena",13,"Exit_Zone",4
602.285,"Info","Arena",13,"Enter_Zone",1
602.452,"Info","Arena",13,"Exit_Zone",1
602.452,"Info","Arena",13,"Enter_Zone",4
602.520,"Info","Arena",13,"Exit_Zone",4
602.520,"Info","Arena",13,"Enter_Zone",1
602.785,"Info","Arena",13,"Exit_Zone",1
602.785,"Info","Arena",13,"Enter_Zone",4
602.818,"Info","Arena",13,"Exit_Zone",4
602.818,"Info","Arena",13,"Enter_Zone",1
602.985,"Info","Arena",13,"Exit_Zone",1
602.985,"Info","Arena",13,"Enter_Zone",4
