0.000,"Info","2021-04-21 23:23:40","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification"," Z8E63AA_B_210421_1"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","8E63AA"
"TIME","","","ARENA","ACTION","ZONE"
601.306,"Info","Arena",1,"Enter_Zone",2
601.306,"Info","Arena",2,"Enter_Zone",1
601.306,"Info","Arena",3,"Enter_Zone",4
601.306,"Info","Arena",4,"Enter_Zone",4
601.306,"Info","Arena",5,"Enter_Zone",3
601.306,"Info","Arena",6,"Enter_Zone",3
601.306,"Info","Arena",7,"Enter_Zone",4
601.306,"Info","Arena",8,"Enter_Zone",4
601.306,"Info","Arena",9,"Enter_Zone",1
601.306,"Info","Arena",10,"Enter_Zone",1
601.306,"Info","Arena",11,"Enter_Zone",3
601.306,"Info","Arena",12,"Enter_Zone",1
601.306,"Info","Arena",13,"Enter_Zone",2
601.306,"Info","Arena",14,"Enter_Zone",1
601.306,"Info","Arena",15,"Enter_Zone",4
732.681,"Info","Arena",3,"Exit_Zone",4
732.681,"Info","Arena",3,"Enter_Zone",1
732.881,"Info","Arena",3,"Exit_Zone",1
732.881,"Info","Arena",3,"Enter_Zone",4
732.983,"Info","Arena",3,"Exit_Zone",4
732.983,"Info","Arena",3,"Enter_Zone",1
733.014,"Info","Arena",3,"Exit_Zone",1
733.014,"Info","Arena",3,"Enter_Zone",4
733.081,"Info","Arena",3,"Exit_Zone",4
733.081,"Info","Arena",3,"Enter_Zone",1
733.114,"Info","Arena",3,"Exit_Zone",1
733.114,"Info","Arena",3,"Enter_Zone",4
733.150,"Info","Arena",3,"Exit_Zone",4
733.150,"Info","Arena",3,"Enter_Zone",1
733.181,"Info","Arena",3,"Exit_Zone",1
733.181,"Info","Arena",3,"Enter_Zone",4
733.214,"Info","Arena",3,"Exit_Zone",4
733.214,"Info","Arena",3,"Enter_Zone",1
733.317,"Info","Arena",3,"Exit_Zone",1
733.317,"Info","Arena",3,"Enter_Zone",4
734.347,"Info","Arena",3,"Exit_Zone",4
734.347,"Info","Arena",3,"Enter_Zone",1
734.680,"Info","Arena",3,"Exit_Zone",1
734.680,"Info","Arena",3,"Enter_Zone",4
759.312,"Info","Arena",3,"Exit_Zone",4
759.312,"Info","Arena",3,"Enter_Zone",1
847.692,"Info","Arena",3,"Exit_Zone",1
847.692,"Info","Arena",3,"Enter_Zone",4
847.795,"Info","Arena",3,"Exit_Zone",4
847.795,"Info","Arena",3,"Enter_Zone",1
847.825,"Info","Arena",3,"Exit_Zone",1
847.825,"Info","Arena",3,"Enter_Zone",4
847.925,"Info","Arena",3,"Exit_Zone",4
847.925,"Info","Arena",3,"Enter_Zone",1
847.992,"Info","Arena",3,"Exit_Zone",1
847.992,"Info","Arena",3,"Enter_Zone",4
848.158,"Info","Arena",3,"Exit_Zone",4
848.158,"Info","Arena",3,"Enter_Zone",1
848.192,"Info","Arena",3,"Exit_Zone",1
848.192,"Info","Arena",3,"Enter_Zone",4
848.462,"Info","Arena",3,"Exit_Zone",4
848.462,"Info","Arena",3,"Enter_Zone",1
848.492,"Info","Arena",3,"Exit_Zone",1
848.492,"Info","Arena",3,"Enter_Zone",4
848.628,"Info","Arena",3,"Exit_Zone",4
848.628,"Info","Arena",3,"Enter_Zone",1
848.658,"Info","Arena",3,"Exit_Zone",1
848.658,"Info","Arena",3,"Enter_Zone",4
848.691,"Info","Arena",3,"Exit_Zone",4
848.691,"Info","Arena",3,"Enter_Zone",1
848.758,"Info","Arena",3,"Exit_Zone",1
848.758,"Info","Arena",3,"Enter_Zone",4
848.825,"Info","Arena",3,"Exit_Zone",4
848.825,"Info","Arena",3,"Enter_Zone",1
848.858,"Info","Arena",3,"Exit_Zone",1
848.858,"Info","Arena",3,"Enter_Zone",4
848.961,"Info","Arena",3,"Exit_Zone",4
848.961,"Info","Arena",3,"Enter_Zone",1
848.991,"Info","Arena",3,"Exit_Zone",1
848.991,"Info","Arena",3,"Enter_Zone",4
849.025,"Info","Arena",3,"Exit_Zone",4
849.025,"Info","Arena",3,"Enter_Zone",1
849.091,"Info","Arena",3,"Exit_Zone",1
