0.000,"Info","2021-04-22 05:07:15","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Z62B8E1_B_210421_7"
0.000,"Info","Apparatus","Zantiks MWP Unit"
0.000,"Info","Unit ID","62B8E1"
"TIME","","","ARENA","ACTION","ZONE"
601.321,"Info","Arena",1,"Enter_Zone",2
601.321,"Info","Arena",2,"Enter_Zone",3
601.321,"Info","Arena",3,"Enter_Zone",3
601.321,"Info","Arena",4,"Enter_Zone",4
601.321,"Info","Arena",5,"Enter_Zone",4
601.321,"Info","Arena",6,"Enter_Zone",2
601.321,"Info","Arena",7,"Enter_Zone",3
601.321,"Info","Arena",8,"Enter_Zone",3
601.321,"Info","Arena",9,"Enter_Zone",3
601.321,"Info","Arena",10,"Enter_Zone",1
601.321,"Info","Arena",11,"Enter_Zone",4
601.321,"Info","Arena",12,"Enter_Zone",4
601.321,"Info","Arena",13,"Enter_Zone",3
601.321,"Info","Arena",14,"Enter_Zone",3
601.321,"Info","Arena",15,"Enter_Zone",2
624.417,"Info","Arena",7,"Exit_Zone",3
624.417,"Info","Arena",7,"Enter_Zone",4
656.577,"Info","Arena",15,"Exit_Zone",2
656.577,"Info","Arena",15,"Enter_Zone",4
656.677,"Info","Arena",15,"Exit_Zone",4
656.677,"Info","Arena",15,"Enter_Zone",2
656.910,"Info","Arena",15,"Exit_Zone",2
656.910,"Info","Arena",15,"Enter_Zone",4
656.977,"Info","Arena",15,"Exit_Zone",4
656.977,"Info","Arena",15,"Enter_Zone",2
661.276,"Info","Arena",5,"Exit_Zone",4
661.276,"Info","Arena",5,"Enter_Zone",3
661.310,"Info","Arena",5,"Exit_Zone",3
661.310,"Info","Arena",5,"Enter_Zone",4
663.045,"Info","Arena",5,"Exit_Zone",4
663.045,"Info","Arena",5,"Enter_Zone",3
663.076,"Info","Arena",5,"Exit_Zone",3
663.076,"Info","Arena",5,"Enter_Zone",4
663.142,"Info","Arena",5,"Exit_Zone",4
663.142,"Info","Arena",5,"Enter_Zone",3
663.176,"Info","Arena",5,"Exit_Zone",3
663.176,"Info","Arena",5,"Enter_Zone",4
663.576,"Info","Arena",5,"Exit_Zone",4
663.576,"Info","Arena",5,"Enter_Zone",3
663.609,"Info","Arena",5,"Exit_Zone",3
663.609,"Info","Arena",5,"Enter_Zone",4
663.942,"Info","Arena",5,"Exit_Zone",4
663.942,"Info","Arena",5,"Enter_Zone",3
663.976,"Info","Arena",5,"Exit_Zone",3
663.976,"Info","Arena",5,"Enter_Zone",4
676.840,"Info","Arena",5,"Exit_Zone",4
676.840,"Info","Arena",5,"Enter_Zone",3
676.940,"Info","Arena",5,"Exit_Zone",3
676.940,"Info","Arena",5,"Enter_Zone",4
676.973,"Info","Arena",5,"Exit_Zone",4
676.973,"Info","Arena",5,"Enter_Zone",3
677.006,"Info","Arena",5,"Exit_Zone",3
677.006,"Info","Arena",5,"Enter_Zone",4
677.042,"Info","Arena",5,"Exit_Zone",4
677.042,"Info","Arena",5,"Enter_Zone",3
677.106,"Info","Arena",5,"Exit_Zone",3
677.106,"Info","Arena",5,"Enter_Zone",4
677.140,"Info","Arena",5,"Exit_Zone",4
677.140,"Info","Arena",5,"Enter_Zone",3
677.340,"Info","Arena",5,"Exit_Zone",3
677.340,"Info","Arena",5,"Enter_Zone",4
677.375,"Info","Arena",5,"Exit_Zone",4
677.375,"Info","Arena",5,"Enter_Zone",3
677.406,"Info","Arena",5,"Exit_Zone",3
677.406,"Info","Arena",5,"Enter_Zone",4
677.440,"Info","Arena",5,"Exit_Zone",4
677.440,"Info","Arena",5,"Enter_Zone",3
677.473,"Info","Arena",5,"Exit_Zone",3
677.473,"Info","Arena",5,"Enter_Zone",4
677.673,"Info","Arena",5,"Exit_Zone",4
677.673,"Info","Arena",5,"Enter_Zone",3
677.740,"Info","Arena",5,"Exit_Zone",3
677.740,"Info","Arena",5,"Enter_Zone",4
677.941,"Info","Arena",5,"Exit_Zone",4
677.941,"Info","Arena",5,"Enter_Zone",3
678.106,"Info","Arena",5,"Exit_Zone",3
678.106,"Info","Arena",5,"Enter_Zone",4
678.140,"Info","Arena",5,"Exit_Zone",4
678.140,"Info","Arena",5,"Enter_Zone",3
678.173,"Info","Arena",5,"Exit_Zone",3
678.173,"Info","Arena",5,"Enter_Zone",4
678.240,"Info","Arena",5,"Exit_Zone",4
678.240,"Info","Arena",5,"Enter_Zone",3
678.273,"Info","Arena",5,"Exit_Zone",3
678.273,"Info","Arena",5,"Enter_Zone",4
678.306,"Info","Arena",5,"Exit_Zone",4
678.306,"Info","Arena",5,"Enter_Zone",3
678.339,"Info","Arena",5,"Exit_Zone",3
678.339,"Info","Arena",5,"Enter_Zone",4
678.473,"Info","Arena",5,"Exit_Zone",4
678.473,"Info","Arena",5,"Enter_Zone",3
678.473,"Info","Arena",7,"Exit_Zone",4
678.473,"Info","Arena",7,"Enter_Zone",3
678.506,"Info","Arena",7,"Exit_Zone",3
678.506,"Info","Arena",7,"Enter_Zone",4
678.542,"Info","Arena",7,"Exit_Zone",4
678.542,"Info","Arena",7,"Enter_Zone",3
678.875,"Info","Arena",5,"Exit_Zone",3
678.875,"Info","Arena",5,"Enter_Zone",4
678.906,"Info","Arena",5,"Exit_Zone",4
678.906,"Info","Arena",5,"Enter_Zone",3
678.973,"Info","Arena",5,"Exit_Zone",3
678.973,"Info","Arena",5,"Enter_Zone",4
679.073,"Info","Arena",5,"Exit_Zone",4
679.073,"Info","Arena",5,"Enter_Zone",3
679.106,"Info","Arena",5,"Exit_Zone",3
679.106,"Info","Arena",5,"Enter_Zone",4
679.173,"Info","Arena",5,"Exit_Zone",4
679.173,"Info","Arena",5,"Enter_Zone",3
679.208,"Info","Arena",5,"Exit_Zone",3
679.208,"Info","Arena",5,"Enter_Zone",4
679.542,"Info","Arena",5,"Exit_Zone",4
679.542,"Info","Arena",5,"Enter_Zone",3
679.573,"Info","Arena",5,"Exit_Zone",3
679.573,"Info","Arena",5,"Enter_Zone",4
679.606,"Info","Arena",5,"Exit_Zone",4
679.606,"Info","Arena",5,"Enter_Zone",3
679.639,"Info","Arena",5,"Exit_Zone",3
