0.000,"Info","2021-04-23 03:39:01","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Z8E63AA_B_220421_13"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","8E63AA"
"TIME","","","ARENA","ACTION","ZONE"
601.322,"Info","Arena",1,"Enter_Zone",1
601.322,"Info","Arena",2,"Enter_Zone",1
601.322,"Info","Arena",3,"Enter_Zone",3
601.322,"Info","Arena",4,"Enter_Zone",4
601.322,"Info","Arena",5,"Enter_Zone",4
601.322,"Info","Arena",6,"Enter_Zone",3
601.322,"Info","Arena",7,"Enter_Zone",2
601.322,"Info","Arena",8,"Enter_Zone",1
601.322,"Info","Arena",9,"Enter_Zone",3
601.322,"Info","Arena",10,"Enter_Zone",1
601.322,"Info","Arena",11,"Enter_Zone",4
601.322,"Info","Arena",12,"Enter_Zone",4
601.322,"Info","Arena",13,"Enter_Zone",1
601.322,"Info","Arena",14,"Enter_Zone",2
601.322,"Info","Arena",15,"Enter_Zone",4
602.689,"Info","Arena",4,"Exit_Zone",4
602.689,"Info","Arena",4,"Enter_Zone",1
604.621,"Info","Arena",1,"Exit_Zone",1
604.621,"Info","Arena",1,"Enter_Zone",4
604.655,"Info","Arena",1,"Exit_Zone",4
604.655,"Info","Arena",1,"Enter_Zone",1
604.724,"Info","Arena",1,"Exit_Zone",1
604.724,"Info","Arena",1,"Enter_Zone",4
604.755,"Info","Arena",1,"Exit_Zone",4
604.755,"Info","Arena",1,"Enter_Zone",1
604.921,"Info","Arena",1,"Exit_Zone",1
604.921,"Info","Arena",1,"Enter_Zone",4
604.955,"Info","Arena",1,"Exit_Zone",4
604.955,"Info","Arena",1,"Enter_Zone",1
605.188,"Info","Arena",1,"Exit_Zone",1
605.188,"Info","Arena",1,"Enter_Zone",4
605.225,"Info","Arena",1,"Exit_Zone",4
605.225,"Info","Arena",1,"Enter_Zone",1
605.255,"Info","Arena",1,"Exit_Zone",1
605.255,"Info","Arena",1,"Enter_Zone",4
605.355,"Info","Arena",1,"Exit_Zone",4
605.355,"Info","Arena",1,"Enter_Zone",1
605.421,"Info","Arena",1,"Exit_Zone",1
605.421,"Info","Arena",1,"Enter_Zone",4
605.488,"Info","Arena",1,"Exit_Zone",4
605.488,"Info","Arena",1,"Enter_Zone",1
614.286,"Info","Arena",3,"Exit_Zone",3
614.286,"Info","Arena",3,"Enter_Zone",4
620.055,"Info","Arena",2,"Exit_Zone",1
620.055,"Info","Arena",2,"Enter_Zone",4
624.984,"Info","Arena",2,"Exit_Zone",4
624.984,"Info","Arena",2,"Enter_Zone",3
625.117,"Info","Arena",2,"Exit_Zone",3
625.117,"Info","Arena",2,"Enter_Zone",4
625.151,"Info","Arena",2,"Exit_Zone",4
625.151,"Info","Arena",2,"Enter_Zone",3
625.284,"Info","Arena",2,"Exit_Zone",3
625.284,"Info","Arena",2,"Enter_Zone",4
627.250,"Info","Arena",2,"Exit_Zone",4
627.250,"Info","Arena",2,"Enter_Zone",3
628.417,"Info","Arena",2,"Exit_Zone",3
628.417,"Info","Arena",2,"Enter_Zone",4
628.584,"Info","Arena",2,"Exit_Zone",4
628.584,"Info","Arena",2,"Enter_Zone",3
628.720,"Info","Arena",2,"Exit_Zone",3
628.720,"Info","Arena",2,"Enter_Zone",4
628.750,"Info","Arena",2,"Exit_Zone",4
628.750,"Info","Arena",2,"Enter_Zone",3
631.583,"Info","Arena",2,"Exit_Zone",3
631.583,"Info","Arena",2,"Enter_Zone",4
632.083,"Info","Arena",2,"Exit_Zone",4
632.083,"Info","Arena",2,"Enter_Zone",3
632.149,"Info","Arena",2,"Exit_Zone",3
632.149,"Info","Arena",2,"Enter_Zone",4
632.183,"Info","Arena",2,"Exit_Zone",4
632.183,"Info","Arena",2,"Enter_Zone",3
632.220,"Info","Arena",2,"Exit_Zone",3
632.220,"Info","Arena",2,"Enter_Zone",4
635.885,"Info","Arena",7,"Exit_Zone",2
635.885,"Info","Arena",7,"Enter_Zone",4
