0.000,"Info","2021-04-21 23:22:55","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Z5B0E17_B_210421_1"
0.000,"Info","Apparatus","Zantiks MWP Unit"
0.000,"Info","Unit ID","5B0E17"
"TIME","","","ARENA","ACTION","ZONE"
601.323,"Info","Arena",1,"Enter_Zone",3
601.323,"Info","Arena",3,"Enter_Zone",1
601.323,"Info","Arena",4,"Enter_Zone",1
601.323,"Info","Arena",6,"Enter_Zone",4
601.323,"Info","Arena",7,"Enter_Zone",4
601.323,"Info","Arena",9,"Enter_Zone",4
601.323,"Info","Arena",10,"Enter_Zone",1
601.323,"Info","Arena",11,"Enter_Zone",3
601.323,"Info","Arena",12,"Enter_Zone",1
601.323,"Info","Arena",14,"Enter_Zone",3
601.323,"Info","Arena",15,"Enter_Zone",2
601.392,"Info","Arena",5,"Enter_Zone",3
601.558,"Info","Arena",8,"Enter_Zone",4
628.252,"Info","Arena",13,"Enter_Zone",4
640.016,"Info","Arena",3,"Exit_Zone",1
640.016,"Info","Arena",3,"Enter_Zone",4
640.083,"Info","Arena",3,"Exit_Zone",4
640.083,"Info","Arena",3,"Enter_Zone",1
640.149,"Info","Arena",3,"Exit_Zone",1
640.149,"Info","Arena",3,"Enter_Zone",4
640.183,"Info","Arena",3,"Exit_Zone",4
640.183,"Info","Arena",3,"Enter_Zone",1
640.249,"Info","Arena",3,"Exit_Zone",1
640.249,"Info","Arena",3,"Enter_Zone",4
640.283,"Info","Arena",3,"Exit_Zone",4
640.283,"Info","Arena",3,"Enter_Zone",1
640.449,"Info","Arena",3,"Exit_Zone",1
640.449,"Info","Arena",3,"Enter_Zone",4
640.482,"Info","Arena",3,"Exit_Zone",4
640.482,"Info","Arena",3,"Enter_Zone",1
640.782,"Info","Arena",3,"Exit_Zone",1
640.782,"Info","Arena",3,"Enter_Zone",4
640.849,"Info","Arena",3,"Exit_Zone",4
640.849,"Info","Arena",3,"Enter_Zone",1
640.916,"Info","Arena",3,"Exit_Zone",1
640.916,"Info","Arena",3,"Enter_Zone",4
640.949,"Info","Arena",3,"Exit_Zone",4
640.949,"Info","Arena",3,"Enter_Zone",1
641.149,"Info","Arena",3,"Exit_Zone",1
641.149,"Info","Arena",3,"Enter_Zone",4
641.182,"Info","Arena",3,"Exit_Zone",4
641.182,"Info","Arena",3,"Enter_Zone",1
641.516,"Info","Arena",3,"Exit_Zone",1
641.516,"Info","Arena",3,"Enter_Zone",4
641.551,"Info","Arena",3,"Exit_Zone",4
641.551,"Info","Arena",3,"Enter_Zone",1
641.649,"Info","Arena",3,"Exit_Zone",1
641.649,"Info","Arena",3,"Enter_Zone",4
641.682,"Info","Arena",3,"Exit_Zone",4
641.682,"Info","Arena",3,"Enter_Zone",1
641.718,"Info","Arena",3,"Exit_Zone",1
641.718,"Info","Arena",3,"Enter_Zone",4
642.149,"Info","Arena",3,"Exit_Zone",4
642.149,"Info","Arena",3,"Enter_Zone",1
642.182,"Info","Arena",3,"Exit_Zone",1
642.182,"Info","Arena",3,"Enter_Zone",4
642.249,"Info","Arena",3,"Exit_Zone",4
642.249,"Info","Arena",3,"Enter_Zone",1
642.316,"Info","Arena",3,"Exit_Zone",1
642.316,"Info","Arena",3,"Enter_Zone",4
642.349,"Info","Arena",3,"Exit_Zone",4
642.349,"Info","Arena",3,"Enter_Zone",1
642.384,"Info","Arena",3,"Exit_Zone",1
642.384,"Info","Arena",3,"Enter_Zone",4
643.483,"Info","Arena",3,"Exit_Zone",4
643.483,"Info","Arena",3,"Enter_Zone",1
643.551,"Info","Arena",3,"Exit_Zone",1
643.551,"Info","Arena",3,"Enter_Zone",4
643.615,"Info","Arena",3,"Exit_Zone",4
643.615,"Info","Arena",3,"Enter_Zone",1
643.649,"Info","Arena",3,"Exit_Zone",1
643.649,"Info","Arena",3,"Enter_Zone",4
644.082,"Info","Arena",3,"Exit_Zone",4
644.082,"Info","Arena",3,"Enter_Zone",1
644.115,"Info","Arena",3,"Exit_Zone",1
644.115,"Info","Arena",3,"Enter_Zone",4
644.248,"Info","Arena",3,"Exit_Zone",4
644.248,"Info","Arena",3,"Enter_Zone",1
644.282,"Info","Arena",3,"Exit_Zone",1
644.282,"Info","Arena",3,"Enter_Zone",4
648.414,"Info","Arena",3,"Exit_Zone",4
648.414,"Info","Arena",3,"Enter_Zone",1
648.516,"Info","Arena",3,"Exit_Zone",1
648.516,"Info","Arena",3,"Enter_Zone",4
648.550,"Info","Arena",3,"Exit_Zone",4
648.550,"Info","Arena",3,"Enter_Zone",1
648.681,"Info","Arena",3,"Exit_Zone",1
648.681,"Info","Arena",3,"Enter_Zone",4
648.716,"Info","Arena",3,"Exit_Zone",4
648.716,"Info","Arena",3,"Enter_Zone",1
648.748,"Info","Arena",3,"Exit_Zone",1
648.748,"Info","Arena",3,"Enter_Zone",4
649.681,"Info","Arena",3,"Exit_Zone",4
649.681,"Info","Arena",3,"Enter_Zone",1
649.716,"Info","Arena",3,"Exit_Zone",1
649.716,"Info","Arena",3,"Enter_Zone",4
649.781,"Info","Arena",3,"Exit_Zone",4
649.781,"Info","Arena",3,"Enter_Zone",1
649.814,"Info","Arena",3,"Exit_Zone",1
649.814,"Info","Arena",3,"Enter_Zone",4
650.049,"Info","Arena",3,"Exit_Zone",4
650.049,"Info","Arena",3,"Enter_Zone",1
650.081,"Info","Arena",3,"Exit_Zone",1
650.081,"Info","Arena",3,"Enter_Zone",4
650.181,"Info","Arena",3,"Exit_Zone",4
650.181,"Info","Arena",3,"Enter_Zone",1
650.216,"Info","Arena",3,"Exit_Zone",1
650.216,"Info","Arena",3,"Enter_Zone",4
659.479,"Info","Arena",10,"Exit_Zone",1
659.479,"Info","Arena",10,"Enter_Zone",4
659.512,"Info","Arena",10,"Exit_Zone",4
659.512,"Info","Arena",10,"Enter_Zone",1
660.745,"Info","Arena",10,"Exit_Zone",1
660.745,"Info","Arena",10,"Enter_Zone",4
660.779,"Info","Arena",10,"Exit_Zone",4
660.779,"Info","Arena",10,"Enter_Zone",1
660.812,"Info","Arena",10,"Exit_Zone",1
660.812,"Info","Arena",10,"Enter_Zone",4
746.729,"Info","Arena",2,"Enter_Zone",4
760.627,"Info","Arena",2,"Exit_Zone",4
760.627,"Info","Arena",2,"Enter_Zone",2
760.727,"Info","Arena",2,"Exit_Zone",2
760.727,"Info","Arena",2,"Enter_Zone",4
761.528,"Info","Arena",2,"Exit_Zone",4
761.528,"Info","Arena",2,"Enter_Zone",2
770.527,"Info","Arena",2,"Exit_Zone",2
770.527,"Info","Arena",2,"Enter_Zone",4
770.860,"Info","Arena",2,"Exit_Zone",4
770.860,"Info","Arena",2,"Enter_Zone",2
771.258,"Info","Arena",2,"Exit_Zone",2
771.258,"Info","Arena",2,"Enter_Zone",4
779.258,"Info","Arena",2,"Exit_Zone",4
779.258,"Info","Arena",2,"Enter_Zone",3
785.389,"Info","Arena",2,"Exit_Zone",3
785.389,"Info","Arena",2,"Enter_Zone",4
791.488,"Info","Arena",2,"Exit_Zone",4
791.488,"Info","Arena",2,"Enter_Zone",3
863.874,"Info","Arena",13,"Exit_Zone",4
863.874,"Info","Arena",13,"Enter_Zone",1
866.074,"Info","Arena",2,"Exit_Zone",3
866.074,"Info","Arena",2,"Enter_Zone",4
876.738,"Info","Arena",7,"Exit_Zone",4
876.738,"Info","Arena",7,"Enter_Zone",3
876.805,"Info","Arena",7,"Exit_Zone",3
876.805,"Info","Arena",7,"Enter_Zone",4
